Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,36945,33337,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820,21761,2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0
Acura,TSX 4dr,Sedan,Asia,Front,26990,24647,2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0
Acura,TL 4dr,Sedan,Asia,Front,33195,30299,3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755,39014,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100,41100,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765,79978,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0
Audi,A4 1.8T 4dr,Sedan,Europe,Front,25940,23508,1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,35940,32506,1.8,4.0,170.0,23.0,30.0,3638.0,105.0,180.0
Audi,A4 3.0 4dr,Sedan,Europe,Front,31840,28846,3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,33430,30366,3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,34480,31388,3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0
Audi,A6 3.0 4dr,Sedan,Europe,Front,36640,33129,3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,39640,35992,3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,42490,38325,3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,44240,40075,3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,42840,38840,2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,49690,44936,4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0
Audi,A8 L Quattro 4dr,Sedan,Europe,All,69190,64740,4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0
Audi,S4 Quattro 4dr,Sedan,Europe,All,48040,43556,4.2,8.0,340.0,14.0,20.0,3825.0,104.0,179.0
Audi,RS 6 4dr,Sports,Europe,Front,84600,76417,4.2,8.0,450.0,15.0,22.0,4024.0,109.0,191.0
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,35940,32512,1.8,4.0,180.0,20.0,28.0,3131.0,95.0,159.0
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,37390,33891,1.8,4.0,225.0,20.0,28.0,2921.0,96.0,159.0
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,40590,36739,3.2,6.0,250.0,21.0,29.0,3351.0,96.0,159.0
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,40840,37060,3.0,6.0,220.0,18.0,25.0,4035.0,109.0,192.0
Audi,S4 Avant Quattro,Wagon,Europe,All,49090,44446,4.2,8.0,340.0,15.0,21.0,3936.0,104.0,179.0
BMW,X3 3.0i,SUV,Europe,All,37000,33873,3.0,6.0,225.0,16.0,23.0,4023.0,110.0,180.0
BMW,X5 4.4i,SUV,Europe,All,52195,47720,4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0
BMW,325i 4dr,Sedan,Europe,Rear,28495,26155,2.5,6.0,184.0,20.0,29.0,3219.0,107.0,176.0
BMW,325Ci 2dr,Sedan,Europe,Rear,30795,28245,2.5,6.0,184.0,20.0,29.0,3197.0,107.0,177.0
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,37995,34800,2.5,6.0,184.0,19.0,27.0,3560.0,107.0,177.0
BMW,325xi 4dr,Sedan,Europe,All,30245,27745,2.5,6.0,184.0,19.0,27.0,3461.0,107.0,176.0
BMW,330i 4dr,Sedan,Europe,Rear,35495,32525,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0
BMW,330Ci 2dr,Sedan,Europe,Rear,36995,33890,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0
BMW,330xi 4dr,Sedan,Europe,All,37245,34115,3.0,6.0,225.0,20.0,29.0,3483.0,107.0,176.0
BMW,525i 4dr,Sedan,Europe,Rear,39995,36620,2.5,6.0,184.0,19.0,28.0,3428.0,114.0,191.0
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,44295,40530,3.0,6.0,225.0,19.0,28.0,3616.0,107.0,177.0
BMW,530i 4dr,Sedan,Europe,Rear,44995,41170,3.0,6.0,225.0,20.0,30.0,3472.0,114.0,191.0
BMW,545iA 4dr,Sedan,Europe,Rear,54995,50270,4.4,8.0,325.0,18.0,26.0,3814.0,114.0,191.0
BMW,745i 4dr,Sedan,Europe,Rear,69195,63190,4.4,8.0,325.0,18.0,26.0,4376.0,118.0,198.0
BMW,745Li 4dr,Sedan,Europe,Rear,73195,66830,4.4,8.0,325.0,18.0,26.0,4464.0,123.0,204.0
BMW,M3 coupe 2dr,Sports,Europe,Rear,48195,44170,3.2,6.0,333.0,16.0,24.0,3415.0,108.0,177.0
BMW,M3 convertible 2dr,Sports,Europe,Rear,56595,51815,3.2,6.0,333.0,16.0,23.0,3781.0,108.0,177.0
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,33895,31065,2.5,6.0,184.0,20.0,28.0,2932.0,98.0,161.0
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,41045,37575,3.0,6.0,225.0,21.0,29.0,2998.0,98.0,161.0
BMW,325xi Sport,Wagon,Europe,All,32845,30110,2.5,6.0,184.0,19.0,26.0,3594.0,107.0,176.0
Buick,Rainier,SUV,USA,All,37895,34357,4.2,6.0,275.0,15.0,21.0,4600.0,113.0,193.0
Buick,Rendezvous CX,SUV,USA,Front,26545,24085,3.4,6.0,185.0,19.0,26.0,4024.0,112.0,187.0
Buick,Century Custom 4dr,Sedan,USA,Front,22180,20351,3.1,6.0,175.0,20.0,30.0,3353.0,109.0,195.0
Buick,LeSabre Custom 4dr,Sedan,USA,Front,26470,24282,3.8,6.0,205.0,20.0,29.0,3567.0,112.0,200.0
Buick,Regal LS 4dr,Sedan,USA,Front,24895,22835,3.8,6.0,200.0,20.0,30.0,3461.0,109.0,196.0
Buick,Regal GS 4dr,Sedan,USA,Front,28345,26047,3.8,6.0,240.0,18.0,28.0,3536.0,109.0,196.0
Buick,LeSabre Limited 4dr,Sedan,USA,Front,32245,29566,3.8,6.0,205.0,20.0,29.0,3591.0,112.0,200.0
Buick,Park Avenue 4dr,Sedan,USA,Front,35545,32244,3.8,6.0,205.0,20.0,29.0,3778.0,114.0,207.0
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,40720,36927,3.8,6.0,240.0,18.0,28.0,3909.0,114.0,207.0
Cadillac,Escalade,SUV,USA,Front,52795,48377,5.3,8.0,295.0,14.0,18.0,5367.0,116.0,199.0
Cadillac,SRX V8,SUV,USA,Front,46995,43523,4.6,8.0,320.0,16.0,21.0,4302.0,116.0,195.0
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,30835,28575,3.6,6.0,255.0,18.0,25.0,3694.0,113.0,190.0
Cadillac,Deville 4dr,Sedan,USA,Front,45445,41650,4.6,8.0,275.0,18.0,26.0,3984.0,115.0,207.0
Cadillac,Deville DTS 4dr,Sedan,USA,Front,50595,46362,4.6,8.0,300.0,18.0,26.0,4044.0,115.0,207.0
Cadillac,Seville SLS 4dr,Sedan,USA,Front,47955,43841,4.6,8.0,275.0,18.0,26.0,3992.0,112.0,201.0
Cadillac,XLR convertible 2dr,Sports,USA,Rear,76200,70546,4.6,8.0,320.0,17.0,25.0,3647.0,106.0,178.0
Cadillac,Escalade EXT,Truck,USA,All,52975,48541,6.0,8.0,345.0,13.0,17.0,5879.0,130.0,221.0
Chevrolet,Suburban 1500 LT,SUV,USA,Front,42735,37422,5.3,8.0,295.0,14.0,18.0,4947.0,130.0,219.0
Chevrolet,Tahoe LT,SUV,USA,All,41465,36287,5.3,8.0,295.0,14.0,18.0,5050.0,116.0,197.0
Chevrolet,TrailBlazer LT,SUV,USA,Front,30295,27479,4.2,6.0,275.0,16.0,21.0,4425.0,113.0,192.0
Chevrolet,Tracker,SUV,USA,Front,20255,19108,2.5,6.0,165.0,19.0,22.0,2866.0,98.0,163.0
Chevrolet,Aveo 4dr,Sedan,USA,Front,11690,10965,1.6,4.0,103.0,28.0,34.0,2370.0,98.0,167.0
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,12585,11802,1.6,4.0,103.0,28.0,34.0,2348.0,98.0,153.0
Chevrolet,Cavalier 2dr,Sedan,USA,Front,14610,13697,2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0
Chevrolet,Cavalier 4dr,Sedan,USA,Front,14810,13884,2.2,4.0,140.0,26.0,37.0,2676.0,104.0,183.0
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,16385,15357,2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0
Chevrolet,Impala 4dr,Sedan,USA,Front,21900,20095,3.4,6.0,180.0,21.0,32.0,3465.0,111.0,200.0
Chevrolet,Malibu 4dr,Sedan,USA,Front,18995,17434,2.2,4.0,145.0,24.0,34.0,3174.0,106.0,188.0
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,20370,18639,3.5,6.0,200.0,22.0,30.0,3297.0,106.0,188.0
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,21825,20026,3.4,6.0,180.0,21.0,32.0,3340.0,111.0,198.0
Chevrolet,Impala LS 4dr,Sedan,USA,Front,25000,22931,3.8,6.0,200.0,20.0,30.0,3476.0,111.0,200.0
Chevrolet,Impala SS 4dr,Sedan,USA,Front,27995,25672,3.8,6.0,240.0,18.0,28.0,3606.0,111.0,200.0
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,23495,21551,3.5,6.0,200.0,23.0,32.0,3315.0,106.0,188.0
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,24225,22222,3.8,6.0,200.0,18.0,28.0,3434.0,111.0,198.0
Chevrolet,Astro,Sedan,USA,All,26395,23954,4.3,6.0,190.0,14.0,17.0,4605.0,111.0,190.0
Chevrolet,Venture LS,Sedan,USA,Front,27020,24518,3.4,6.0,185.0,19.0,26.0,3699.0,112.0,187.0
Chevrolet,Corvette 2dr,Sports,USA,Rear,44535,39068,5.7,8.0,350.0,18.0,25.0,3246.0,105.0,180.0
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,51535,45193,5.7,8.0,350.0,18.0,25.0,3248.0,105.0,180.0
Chevrolet,Avalanche 1500,Truck,USA,All,36100,31689,5.3,8.0,295.0,14.0,18.0,5678.0,130.0,222.0
Chevrolet,Colorado Z85,Truck,USA,All,18760,17070,2.8,4.0,175.0,18.0,23.0,3623.0,111.0,192.0
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,20310,18480,4.3,6.0,200.0,15.0,21.0,4142.0,119.0,206.0
Chevrolet,Silverado SS,Truck,USA,All,40340,35399,6.0,8.0,300.0,13.0,17.0,4804.0,144.0,238.0
Chevrolet,SSR,Truck,USA,Rear,41995,39306,5.3,8.0,300.0,16.0,19.0,4760.0,116.0,191.0
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,22225,20394,3.5,6.0,200.0,22.0,30.0,3458.0,112.0,188.0
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,17985,16919,2.4,4.0,150.0,22.0,29.0,3101.0,103.0,169.0
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,22000,20573,2.4,4.0,150.0,22.0,29.0,3105.0,103.0,169.0
Chrysler,Sebring 4dr,Sedan,USA,Front,19090,17805,2.4,4.0,150.0,22.0,30.0,3173.0,108.0,191.0
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,21840,20284,2.7,6.0,200.0,21.0,28.0,3222.0,108.0,191.0
Chrysler,300M 4dr,Sedan,USA,Front,29865,27797,3.5,6.0,250.0,18.0,27.0,3581.0,113.0,198.0
Chrysler,Concorde LX 4dr,Sedan,USA,Front,24130,22452,2.7,6.0,200.0,21.0,29.0,3479.0,113.0,208.0
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,26860,24909,3.5,6.0,232.0,19.0,27.0,3548.0,113.0,208.0
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,25955,24172,2.4,4.0,220.0,21.0,27.0,3217.0,103.0,169.0
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,25215,23451,2.4,4.0,150.0,22.0,30.0,3357.0,106.0,194.0
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,33295,30884,3.5,6.0,255.0,18.0,27.0,3650.0,113.0,198.0
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,30950,28613,2.7,6.0,200.0,21.0,28.0,3448.0,106.0,194.0
Chrysler,Town and Country LX,Sedan,USA,Front,27490,25371,3.3,6.0,180.0,19.0,26.0,4068.0,119.0,201.0
Chrysler,Town and Country Limited,Sedan,USA,Front,38380,35063,3.8,6.0,215.0,18.0,25.0,4331.0,119.0,201.0
Chrysler,Crossfire 2dr,Sports,USA,Rear,34495,32033,3.2,6.0,215.0,17.0,25.0,3060.0,95.0,160.0
Chrysler,Pacifica,Wagon,USA,Rear,31230,28725,3.5,6.0,250.0,17.0,23.0,4675.0,116.0,199.0
Dodge,Durango SLT,SUV,USA,All,32235,29472,4.7,8.0,230.0,15.0,21.0,4987.0,119.0,201.0
Dodge,Neon SE 4dr,Sedan,USA,Front,13670,12849,2.0,4.0,132.0,29.0,36.0,2581.0,105.0,174.0
Dodge,Neon SXT 4dr,Sedan,USA,Front,15040,14086,2.0,4.0,132.0,29.0,36.0,2626.0,105.0,174.0
Dodge,Intrepid SE 4dr,Sedan,USA,Front,22035,20502,2.7,6.0,200.0,21.0,29.0,3469.0,113.0,204.0
Dodge,Stratus SXT 4dr,Sedan,USA,Front,18820,17512,2.4,4.0,150.0,21.0,28.0,3182.0,108.0,191.0
Dodge,Stratus SE 4dr,Sedan,USA,Front,20220,18821,2.4,4.0,150.0,21.0,28.0,3175.0,108.0,191.0
Dodge,Intrepid ES 4dr,Sedan,USA,Front,24885,23058,3.5,6.0,232.0,18.0,27.0,3487.0,113.0,204.0
Dodge,Caravan SE,Sedan,USA,Front,21795,20508,2.4,4.0,150.0,20.0,26.0,3862.0,113.0,189.0
Dodge,Grand Caravan SXT,Sedan,USA,All,32660,29812,3.8,6.0,215.0,18.0,25.0,4440.0,119.0,201.0
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,81795,74451,8.3,10.0,500.0,12.0,20.0,3410.0,99.0,176.0
Dodge,Dakota Regular Cab,Truck,USA,Rear,17630,16264,3.7,6.0,210.0,16.0,22.0,3714.0,112.0,193.0
Dodge,Dakota Club Cab,Truck,USA,Rear,20300,18670,3.7,6.0,210.0,16.0,22.0,3829.0,131.0,219.0
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,20215,18076,3.7,6.0,215.0,16.0,21.0,4542.0,121.0,208.0
Ford,Excursion 6.8 XLT,SUV,USA,All,41475,36494,6.8,10.0,310.0,10.0,13.0,7190.0,137.0,227.0
Ford,Expedition 4.6 XLT,SUV,USA,Front,34560,30468,4.6,8.0,232.0,15.0,19.0,5000.0,119.0,206.0
Ford,Explorer XLT V6,SUV,USA,All,29670,26983,4.0,6.0,210.0,15.0,20.0,4463.0,114.0,190.0
Ford,Escape XLS,SUV,USA,All,22515,20907,3.0,6.0,201.0,18.0,23.0,3346.0,103.0,173.0
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,13270,12482,2.0,4.0,130.0,26.0,33.0,2612.0,103.0,168.0
Ford,Focus LX 4dr,Sedan,USA,Front,13730,12906,2.0,4.0,110.0,27.0,36.0,2606.0,103.0,168.0
Ford,Focus SE 4dr,Sedan,USA,Front,15460,14496,2.0,4.0,130.0,26.0,33.0,2606.0,103.0,168.0
Ford,Focus ZX5 5dr,Sedan,USA,Front,15580,14607,2.0,4.0,130.0,26.0,33.0,2691.0,103.0,168.0
Ford,Focus SVT 2dr,Sedan,USA,Front,19135,17878,2.0,4.0,170.0,21.0,28.0,2750.0,103.0,168.0
Ford,Taurus LX 4dr,Sedan,USA,Front,20320,18881,3.0,6.0,155.0,20.0,27.0,3306.0,109.0,198.0
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,22735,20857,3.0,6.0,201.0,19.0,26.0,3313.0,109.0,198.0
Ford,Crown Victoria 4dr,Sedan,USA,Rear,24345,22856,4.6,8.0,224.0,17.0,25.0,4057.0,115.0,212.0
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,27370,25105,4.6,8.0,224.0,17.0,25.0,4057.0,115.0,212.0
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,30315,27756,4.6,8.0,239.0,17.0,25.0,4057.0,115.0,212.0
Ford,Freestar SE,Sedan,USA,Front,26930,24498,3.9,6.0,193.0,17.0,23.0,4275.0,121.0,201.0
Ford,Mustang 2dr (convertible),Sports,USA,Rear,18345,16943,3.8,6.0,193.0,20.0,29.0,3290.0,101.0,183.0
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,29380,26875,4.6,8.0,260.0,17.0,25.0,3347.0,101.0,183.0
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,37530,34483,3.9,8.0,280.0,17.0,24.0,3780.0,107.0,186.0
Ford,F-150 Regular Cab XL,Truck,USA,Rear,22010,19490,4.6,8.0,231.0,15.0,19.0,4788.0,126.0,211.0
Ford,F-150 Supercab Lariat,Truck,USA,All,33540,29405,5.4,8.0,300.0,14.0,18.0,5464.0,133.0,218.0
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,14385,13717,2.3,4.0,143.0,24.0,29.0,3028.0,111.0,188.0
Ford,Focus ZTW,Wagon,USA,Front,17475,16375,2.0,4.0,130.0,26.0,33.0,2702.0,103.0,178.0
Ford,Taurus SE,Wagon,USA,Front,22290,20457,3.0,6.0,155.0,19.0,26.0,3497.0,109.0,198.0
